TIMESTAMP        home1-RQ         home1-RD         home1-WR         work2-RQ         work2-RD         work2-WR         scratch1-RQ      scratch1-RD      scratch1-WR      scratch2-RQ      scratch2-RD      scratch2-WR      scratch3-RQ      scratch3-RD      scratch3-WR      
1655935344        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935354        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935365        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935375        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935385        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935395        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935405        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935416        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935426        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935436        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935447        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935457        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935467        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935477        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935487        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935498        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935508        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935518        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935528        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935538        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935548        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935558        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935569        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935579        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935589        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935599        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935609        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935619        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935630        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935640        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935650        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935660        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935670        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935680        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935690        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935701        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935711        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935721        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935731        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935741        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935751        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935761        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935772        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935785        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935796        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935806        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
1655935816        0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                0                 0                
